ONET_SOC_CODE,TASK_ID,TASK,TASK_TYPE,TASK_CLASSIFICATION,TASK_CLASSIFICATION_SCORE
11-1011.00,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,remote,0.8501956462860107
11-1011.00,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,remote,0.933178186416626
11-1011.00,8827,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,remote,0.7661478519439697
11-1011.00,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,remote,0.7978953123092651
11-1011.00,8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",Core,remote,0.7565211057662964
11-1011.00,8836,Implement corrective action plans to solve organizational or departmental problems.,Core,remote,0.710525393486023
11-1011.00,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,remote,0.822242021560669
11-1011.00,8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",Core,remote,0.7794411182403564
11-1011.00,8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,non-remote,0.5293240547180176
11-1011.00,8831,Appoint department heads or managers and assign or delegate responsibilities to them.,Core,remote,0.811708927154541
11-1011.00,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Core,remote,0.7798169851303101
11-1011.00,8830,Review reports submitted by staff members to recommend approval or to suggest changes.,Core,remote,0.7684382200241089
11-1011.00,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",Core,remote,0.7391630411148071
11-1011.00,8835,Establish departmental responsibilities and coordinate functions among departments and sites.,Core,remote,0.8160893321037292
11-1011.00,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",Core,remote,0.8030679225921631
11-1011.00,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",Core,remote,0.8806018233299255
11-1011.00,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",Core,remote,0.7535014748573303
11-1011.00,8833,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",Core,remote,0.6077491044998169
11-1011.00,8849,Attend and participate in meetings of municipal councils or council committees.,Core,non-remote,0.7091085314750671
11-1011.00,8850,Organize or approve promotional campaigns.,Core,remote,0.7533110976219177
11-1011.00,8842,Nominate citizens to boards or commissions.,Supplemental,remote,0.8064769506454468
11-1011.00,8851,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",Supplemental,remote,0.743287205696106
11-1011.00,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,Supplemental,remote,0.77579665184021
11-1011.00,8853,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",Supplemental,remote,0.6734686493873596
11-1011.00,8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",Supplemental,remote,0.7711368799209595
11-1011.00,20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",Supplemental,remote,0.7742910385131836
11-1011.00,8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",Supplemental,non-remote,0.7624564170837402
11-1011.00,8845,Refer major policy matters to elected representatives for final decisions.,Supplemental,non-remote,0.7655404806137085
11-1011.00,8848,Direct or conduct studies or research on issues affecting areas of responsibility.,Supplemental,remote,0.6102629899978638
11-1011.00,8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",Supplemental,remote,0.8252791166305542
11-1011.00,8852,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",Supplemental,remote,0.8970913887023926
11-1011.03,15382,Monitor and evaluate effectiveness of sustainability programs.,Core,remote,0.8126853108406067
11-1011.03,15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",Core,remote,0.7236032485961914
11-1011.03,15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",Core,remote,0.7234530448913574
11-1011.03,15372,Supervise employees or volunteers working on sustainability projects.,Core,remote,0.8533607721328735
11-1011.03,15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",Core,remote,0.8089953064918518
11-1011.03,15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",Core,remote,0.7022299766540527
11-1011.03,15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,Core,remote,0.8072903156280518
11-1011.03,15370,"Create and maintain sustainability program documents, such as schedules and budgets.",Core,remote,0.7539963126182556
11-1011.03,15375,Formulate or implement sustainability campaign or marketing strategies.,Core,remote,0.7434274554252625
11-1011.03,15376,"Research environmental sustainability issues, concerns, or stakeholder interests.",Core,remote,0.814553439617157
11-1011.03,15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,Core,remote,0.7272018790245056
11-1011.03,15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",Core,remote,0.777291476726532
11-1011.03,15381,Develop methodologies to assess the viability or success of sustainability initiatives.,Core,remote,0.6930171847343445
11-1011.03,15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",Core,remote,0.7973985075950623
11-1011.03,15373,Write and distribute financial or environmental impact reports.,Core,remote,0.8581323027610779
